CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;B015;B016;B017;B018;B019;B031_01;B032_01;B033_01;B034_01;B035_01;B038_01;B039_01;B040_01;B041_01;B042_01;B043_01;B043_02;B043_03;B043_04;B043_05;MI02_01;MI02_02;MI02_03;MI02_04;MI02_05;MI02_06;MI02_07;MI02_08;MI02_09;MI02_10;MF02_01;MF02_02;MF02_03;MF02_04;MF02_05;MF02_06;MF02_07;MF02_08;MF02_09;MF02_10;MF02_11;MF02_12;MF02_13;MF02_14;MF02_15;MF02_16;MF03_01;MF03_02;MF03_03;MF03_04;MF03_05;MF03_06;MF03_07;MF03_08;MF03_09;MF03_10;MF03_11;MF03_12;MF03_13;MF03_14;MF03_15;MF03_16;ZU02_01;ZU03_01;ZU04_01;ZU05_01;ZU06;ZU07;ZU08_01;GN01_01;GN02_01;GN03_01;GN04_01;GN05_01;VA01_01;DE01_01;DE02;DE03;DE04;DE05;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE
230;4CM6C3;;base;interview;29.01.15 11:59;2;2;7;2;2;80;73;46;21;55;5;5;8;7;7;;;;;;6;2;2;2;5;4;3;4;5;4;5;3;3;3;3;2;5;5;3;3;3;5;4;3;4;3;4;5;5;4;2;5;4;5;3;3;1;1;3;3;1;1;-9;75;79;5;3;7;"Bei den zu bewertenden Aussagen waren die dogmatischen Maxima eine starke Hemmung für die Bewertung (z.B. ob ein Verhalten die wichtigste Tugend wäre; wenn es sich um weniger fundamental ausgedrückte Aussagen handeln würde, wären andere Bewertungen erfolgt). Dies soll lediglich der Information dienen, wenn dies nicht erwünscht und in Pre-Tests nicht erkannt wurde.
Bezüglich des Wählens musste leider sonstiges angegeben werden, da ich aus Österreich bin und deswegen einwandfrei klare Bewertung der Parteilandschaft treffen konnte. Zur Vergleichbarkeit sei hier nun erwähnt, wenn in Österreich gewählt worden wäre, hätte die ÖVP die Stimme erhalten (vermutlich damit als Pendant am ehesten CDU/CSU vergleichbar). 
Ich hoffe, Sie können dies dann entsprechend umgelegt in Ihre Auswertung miteinfließen lassen.
Mit freundlichen Grüßen";Vorgesetzter/Entscheider;Caretaker/Entscheider;Bearbeiter;Egozentrischer/Zögerer;Liberaler Zögerer;verdeckt;30;2;1;5;1;1;21;21;8;2;12;13;25
232;7SID7R;;base;interview;29.01.15 12:09;6;6;7;4;4;37;100;36;11;91;10;1;7;8;3;;;;;;7;7;3;1;7;4;1;2;5;4;6;5;4;4;6;1;6;6;6;2;3;6;6;5;3;1;5;6;5;5;3;6;6;6;2;1;1;6;1;3;2;1;-9;99;-1;7;3;2;;Egoist;Menschenfreund;Spieler;unentschlossener Spieler;unentschlossener Spiele;verdeckt;63;1;2;-9;1;1;21;21;11;4;22;2;24
233;Z8QUV1;;base;interview;29.01.15 12:11;7;3;4;2;4;14;86;10;3;78;8;2;10;7;3;;;;;;7;6;5;1;6;4;1;5;4;7;5;5;3;4;5;1;6;6;6;4;5;6;4;4;2;6;6;6;6;6;5;6;6;6;6;2;6;6;6;2;5;6;7;20;100;7;3;1;Sehr interessant, manchmal etwas schwierig zu entscheiden. Insgesamt finde ich Ihre Fragebögen immer sehr gut und ich nehme gerne an den Umfragen teil.;egoistisch;uneigennützig, sozial;nicht entscheidugsfähig;unentschlossen;gerade noch gut;verdeckt;74;2;2;-9;1;1;21;21;8;2;8;0;8
235;UTKINY;;base;interview;29.01.15 12:18;7;3;5;4;4;44;43;29;18;9;0;0;2;5;4;;;4;4;4;7;7;5;1;6;6;1;7;7;7;6;6;4;4;6;2;6;6;6;2;5;6;6;5;5;6;6;6;4;4;6;6;6;6;5;1;4;6;5;5;1;1;5;70;80;6;3;2;Interessant, und ich würde gerne mal die Ergebnisse erfahren.;realistisch;idealist;feig;entscheidungsschwach;wankelmütig;verdeckt;70;1;2;-9;2;1;21;21;4;1;5;1;5
241;OGM3TR;;base;interview;29.01.15 13:05;2;2;6;3;1;54;43;61;25;71;1;1;1;2;1;;;;;;5;4;4;1;3;3;3;1;1;4;3;4;1;2;2;1;4;4;4;1;1;5;5;5;3;1;3;5;5;5;1;5;2;5;4;2;2;3;3;3;4;1;2;100;56;7;3;7;Das Experiment war irgendwie sehr unklar...;Gruppe A;Gruppe B;Gruppe C;Gruppe D;Gruppe E;offen;25;2;1;4;1;1;21;21;6;1;6;5;11
243;S99Y51;;base;interview;29.01.15 13:07;3;3;6;4;3;20;98;87;27;89;6;0;3;6;1;7;;2;;;7;7;5;1;5;3;2;4;6;7;6;4;1;3;6;1;5;6;6;5;4;6;6;3;4;2;4;6;3;5;5;6;6;4;3;2;6;5;2;2;1;1;4;95;82;7;3;1;;Egoistisch;bescheiden;fair;unsicher;unsicher;verdeckt;25;1;2;-9;1;1;21;21;6;1;8;0;8
246;ZCLVXY;;base;interview;29.01.15 13:09;6;5;3;2;2;72;27;5;2;14;8;2;10;10;5;;;5;;;7;7;1;1;7;7;1;7;7;7;4;6;1;1;6;1;6;6;6;1;3;6;4;-9;3;6;6;4;1;3;5;6;3;6;3;6;6;6;6;4;1;4;-9;78;77;-9;3;4;Interessante Studie :-);realistisch, nüchtern;zu gutherzig;unentschlossen;unentschlossen und gierig;unentschlossen+ängstlich;verdeckt;39;1;2;-9;1;1;21;21;10;5;27;51;79
247;NIN1GJ;;base;interview;29.01.15 13:25;5;6;5;5;3;99;40;47;33;57;2;5;2;4;2;;;;;;6;4;3;1;4;4;5;1;1;5;4;-9;2;1;1;1;5;6;4;2;1;5;5;4;2;1;4;6;5;5;2;6;6;6;3;1;1;6;2;4;3;1;-9;100;-9;-9;3;1;;entscheidungsfreudig;entscheidungsunfreudig;unentschieden;unschlüssig;gerecht;verdeckt;55;1;2;-9;1;1;21;21;14;7;36;73;109
249;81QX8C;;base;interview;29.01.15 13:30;7;4;4;2;1;48;45;46;2;49;3;3;3;3;3;;;;;;6;6;4;2;6;3;4;5;5;6;6;5;5;3;5;2;6;6;6;5;5;6;5;5;5;1;4;6;6;3;5;6;5;6;4;2;4;6;6;5;5;1;-9;10;75;-9;3;6;;Egoentscheider;Samariter;Zocker;Blender;Zauderer;offen;55;2;2;-9;1;1;21;21;11;4;23;18;41
250;W8NNJJ;;base;interview;29.01.15 13:40;5;3;3;3;3;49;46;47;28;38;3;0;3;3;2;;;;4;;6;5;3;1;4;2;2;2;3;5;4;3;3;2;4;1;5;4;5;2;4;6;6;4;2;1;4;4;5;3;2;6;6;4;4;2;2;5;3;3;2;1;1;60;51;5;3;4;Vor manche Entscheidungen sollte kein Mensch gestellt werden.;Selbstgewinner;Fremdgewinner;NichtentscheiderInnen;Wankelmütige;altruistische Wankelmütig;verdeckt;55;1;2;-9;1;1;21;21;6;1;7;1;8
252;PNUHXA;;base;interview;29.01.15 13:48;5;2;3;3;1;99;3;11;61;1;5;5;5;5;5;;;;;;7;7;4;1;6;4;2;5;5;6;4;5;2;2;4;1;5;5;4;2;2;5;5;3;4;1;5;5;5;5;3;6;6;6;4;1;5;6;4;4;3;2;2;50;81;7;3;2;;entschlossen;unsicher;Nachläufer;Vorangeher;verwirrt;verdeckt;27;2;1;8;1;1;21;21;8;1;8;17;25
254;JCF79Z;;base;interview;29.01.15 14:10;7;3;4;2;2;62;71;83;27;60;8;5;4;6;5;;;;;;6;5;3;1;6;5;2;6;6;6;6;5;2;3;5;1;5;5;4;4;3;5;4;3;5;2;5;6;4;4;3;6;6;6;4;2;3;5;3;5;4;3;3;30;76;5;3;1;;Direkt 60/20;Direkt 20/60;Münze;Münze_Direkt 60/20;Münze_Direkt 20/60;verdeckt;24;1;2;-9;1;1;21;21;9;2;10;24;34
256;98MORR;;base;interview;29.01.15 14:12;6;6;3;2;2;77;71;21;5;10;6;6;6;6;6;;;;;;7;7;3;1;6;6;2;2;3;4;5;5;4;2;5;1;5;5;5;1;3;6;5;5;5;3;6;5;5;4;2;6;4;5;6;5;2;6;3;5;3;2;-9;100;82;6;3;1;"Der Münz- oder Nichtmünzwurf ist sehr speziell; vielleicht wäre eine andere Situation für den Umfrage-Teilnehmer besser, also durchsichtiger.";Rationalisten;Händler; Entdecker;Zweifler;Langweiler;offen;67;2;2;-9;1;1;21;21;9;3;14;3;17
258;6SWXQE;;base;interview;29.01.15 14:19;5;1;2;6;1;64;2;50;35;7;8;1;4;6;6;;;;;;6;6;1;1;6;6;2;6;6;7;5;4;1;2;5;2;5;5;6;2;6;-9;6;5;5;5;5;6;4;5;5;6;6;6;5;4;5;5;5;-9;4;4;1;90;52;7;2;2;;wenig risikofreudig;unvernünftig;risikofreudig;ängstlich;großzügig;verdeckt;69;2;2;-9;1;1;21;21;11;5;25;59;84
259;KCHWDJ;;base;interview;29.01.15 14:21;3;5;7;3;2;80;29;19;12;35;6;5;7;5;9;4;5;6;7;8;5;6;3;2;6;2;2;2;3;6;5;3;4;4;3;2;5;4;3;2;2;4;5;4;3;2;5;5;3;4;2;4;4;4;3;2;2;5;3;4;5;2;-9;100;-1;2;3;1;;Kalkulierer;Zocker;Spieler;Schisser;Langweiler;verdeckt;43;2;2;-9;1;1;21;21;5;3;16;76;92
260;SC8106;;base;interview;29.01.15 14:38;6;4;2;2;2;94;25;7;5;1;3;6;8;9;10;;;;;;6;6;4;2;6;4;2;4;6;6;5;4;3;3;5;4;5;5;6;3;5;5;5;5;5;2;5;6;5;3;5;6;5;6;5;2;2;6;2;5;2;1;2;51;91;6;3;1;Mal ein anderer und sehr interessanter Fragebogen.;Entscheider +;Entscheider -;schwach;schwach +;schwach -;offen;59;2;2;-9;1;1;21;21;8;2;8;9;17
261;TUT7AA;;base;interview;29.01.15 14:46;7;2;4;4;2;18;82;63;31;70;9;2;3;7;4;;;;;;7;6;3;2;6;4;1;6;7;6;5;5;3;4;5;1;6;5;6;4;4;5;6;5;5;2;5;6;4;5;3;6;6;6;4;3;3;5;5;5;4;2;3;80;50;6;3;7;;Egoist;fair;Zufallsüberlasser;Unschlüssigen;Umentscheider;verdeckt;23;1;1;3;1;1;21;21;8;1;8;11;19
265;QDGVV8;;base;interview;29.01.15 15:17;4;2;4;4;1;49;40;47;47;26;8;4;8;9;4;;5;;;;6;6;5;1;7;4;1;6;7;4;6;6;2;3;2;1;6;5;1;4;4;6;6;5;6;1;5;6;2;5;3;6;6;6;3;1;1;6;6;4;3;3;4;80;61;3;3;4;;direkt & gewinnorientiert;nicht gewinnorientiert;risikofreudig;berechnend&gewinnorientie;nicht gewinnorientiert;offen;26;1;2;-9;1;1;21;21;8;2;9;6;15
266;8OKMXX;;base;interview;29.01.15 15:28;6;4;4;2;1;70;88;53;27;33;10;2;5;9;4;10;2;6;10;2;7;7;5;1;6;5;1;5;5;7;6;6;2;4;5;1;6;6;6;3;3;6;6;5;3;4;5;6;4;4;2;6;4;6;4;1;3;5;4;5;5;4;6;70;79;2;3;3;;spontaner Egoist;spontaner Geber;Neutral;Münz-Egoist;Münz-Geber;verdeckt;23;1;1;1;1;1;21;21;1;0;2;34;36
267;SW4MR5;;base;interview;29.01.15 15:32;7;3;4;5;4;36;83;72;26;68;8;2;4;7;1;;;;;;7;6;7;1;6;4;3;5;5;6;5;4;3;5;6;2;5;5;6;4;3;5;6;4;5;4;4;6;2;5;4;6;6;5;5;3;5;4;5;6;4;5;3;99;60;5;3;4;;Profitmenschen;zurückhaltend;risikobereit;unentschlossen;unsicher;verdeckt;24;1;1;4;1;1;21;21;8;1;8;7;15
270;EWQQCN;;base;interview;29.01.15 15:58;7;3;3;5;2;53;53;42;17;29;8;2;5;9;3;;;;;2;6;6;3;1;4;5;2;5;5;6;5;4;2;3;4;1;5;6;4;3;4;6;5;4;2;1;4;5;4;4;1;6;6;5;1;1;2;3;3;4;4;1;1;80;-1;5;3;7;manche Fragen bringen einen echt an die Grenzen, schade, dass man nicht mehr dazu schreiben kann, weshalb man sich so entschieden hat. ;zielstrebig;extrem über-ich-gesteuert;passiv;unehrlich;unsicher;offen;38;1;2;-9;1;1;21;21;8;2;13;3;16
272;L65V4X;;base;interview;29.01.15 16:04;5;3;6;4;2;18;89;64;17;50;9;0;3;10;3;;;0;;;7;7;6;1;6;6;1;7;6;7;5;6;2;2;4;2;6;6;3;3;4;6;6;3;5;3;4;5;5;4;1;6;6;6;5;4;3;5;3;5;3;2;6;55;100;7;3;5;;egos;nett;fair;link;grillig;offen;20;1;1;5;1;1;21;21;6;1;7;15;21
273;UN48IX;;base;interview;29.01.15 16:05;4;4;4;4;4;47;12;47;45;29;1;1;1;1;1;;;;;;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-9;10;46;-9;1;7;;------------;-------;-----------;------------;------------;offen;26;1;2;-9;1;1;21;21;11;4;23;271;294
275;V1ULRV;;base;interview;29.01.15 16:28;4;2;2;5;3;31;81;81;41;61;8;1;4;6;3;9;;5;7;;6;5;3;1;4;4;2;3;3;6;5;3;2;4;3;1;5;5;4;2;3;4;5;4;4;1;6;5;4;4;2;5;5;6;4;2;1;6;3;5;4;3;2;95;51;7;3;-9;;rational aber materiell;irrational aber gütig;fair;unsicher aber metariell;unsicher aber gütig;verdeckt;26;2;1;2;2;1;21;21;5;2;11;1;12
276;TOOXGY;;base;interview;29.01.15 17:03;7;2;3;2;2;101;1;15;82;1;0;10;7;3;10;;;;;;4;3;1;2;3;2;5;2;3;4;4;4;2;1;4;3;5;4;5;2;3;6;5;3;2;1;4;4;4;4;2;5;6;4;3;2;2;5;1;3;4;1;1;75;83;7;3;6;;Normal;Komisch;Unentschlossen ;Fast normal;Noch komischer;offen;35;2;2;-9;1;1;21;21;9;2;10;46;56
279;DIEW35;;base;interview;29.01.15 17:27;6;2;3;2;2;28;101;51;9;74;10;2;5;9;3;;;;;;7;6;5;1;6;6;1;6;7;5;5;5;1;4;5;1;6;6;6;2;5;6;6;5;4;1;5;5;3;5;5;6;5;5;3;2;1;6;2;3;3;4;4;95;73;6;3;1;;selbstsüchtig;sozial;unentschlossen;unsicher;dem Gegenüber wohlgesinnt;verdeckt;30;1;2;-9;1;1;21;21;9;2;10;0;10
281;8KFT6Z;;base;interview;29.01.15 17:31;-9;;;;;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;verdeckt;;;;;;0;7;7;100;100;530;156;686
282;HGLO1M;;base;interview;29.01.15 17:39;7;3;3;2;2;54;49;50;27;20;0;0;0;0;0;;;;;;7;7;4;1;1;5;1;1;1;6;5;5;3;3;4;1;5;5;5;3;4;5;5;2;3;1;6;-9;4;3;4;6;1;6;4;1;1;6;5;5;2;1;2;50;50;4;3;2;;Realist;Weichei;Weichei2;Falschspieler;Falschspieler2;offen;62;2;2;-9;1;1;21;21;10;3;17;22;39
283;0BLZIP;;base;interview;29.01.15 17:40;7;2;3;3;2;51;73;60;36;55;7;2;4;7;4;8;;;8;3;7;5;4;1;6;6;2;6;6;7;4;6;4;5;4;2;4;3;5;3;2;5;6;4;6;2;5;5;3;5;3;4;5;6;4;1;3;6;4;5;4;4;4;51;100;4;3;3;;Heinz;Detlef;Tobias;Horst;Olaf;offen;22;2;1;1;1;1;21;21;4;1;4;5;9
284;COE34Z;;base;interview;29.01.15 17:41;3;6;4;3;5;27;91;69;8;63;8;4;4;10;4;;;;;;7;7;5;1;7;7;1;7;7;7;6;5;4;4;4;1;6;6;6;3;3;4;5;5;4;1;6;6;5;3;3;3;5;5;5;1;3;5;4;5;3;1;1;95;100;5;3;2;;egoist;sozial;gerecht;egoist;sozial;verdeckt;50;1;2;-9;1;1;21;21;9;2;10;1;11
285;VEB9PT;;base;interview;29.01.15 17:45;4;2;2;;;55;99;65;;;4;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;spontane Egoisten;spontane Altruisten;Entscheidungslos;;;verdeckt;;;;;;0;9;9;0;0;0;24;24
286;K34U3M;;base;interview;29.01.15 17:50;6;;;;;53;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vorsichtig;;;;;offen;;;;;;0;7;7;0;0;0;61;61
287;B48D2T;;base;interview;29.01.15 17:52;6;3;2;2;3;48;48;64;40;62;5;2;5;5;4;;;;;;6;6;4;2;6;6;2;2;2;6;6;5;5;6;5;2;6;5;6;5;5;6;6;6;5;2;6;6;6;6;5;5;6;6;5;1;5;6;1;5;5;4;5;10;100;-9;3;1;;Egoistisch ;Selbstlos;Verantwortung abgeben;Vorteil bedacht;Selbstlos ;verdeckt;51;1;2;-9;1;1;21;21;10;3;17;24;41
290;17W1CU;;base;interview;29.01.15 18:08;6;2;3;2;3;44;53;92;13;69;10;1;0;8;3;;;;;;7;5;3;1;3;4;2;3;4;7;6;6;2;4;4;1;6;6;6;4;3;6;6;5;5;1;4;5;4;4;3;5;6;6;4;3;3;6;4;3;4;1;1;99;-1;6;3;3;;sich selbst bevorzugend;sympathisch;gerecht;ungerecht;zögernd gerecht;offen;24;1;1;1;1;1;21;21;9;3;14;23;37
291;84VYWS;;base;interview;29.01.15 18:18;6;2;5;3;1;40;74;82;19;35;8;3;3;9;5;;;;;;6;6;-9;2;2;2;2;2;2;6;3;4;2;2;2;1;4;5;4;1;1;5;5;2;3;3;4;5;4;4;3;5;4;5;4;1;2;6;2;2;1;2;5;50;71;2;3;3;;egos;samariter;gerechte;gierige;angsthase;offen;50;2;2;-9;1;1;21;21;10;3;17;0;18
293;3W6IB4;;base;interview;29.01.15 18:38;4;4;5;2;2;54;55;54;28;55;0;0;0;0;0;;;;;;6;6;2;2;2;3;2;4;4;5;5;5;2;3;2;1;4;5;4;2;2;5;6;5;5;1;3;5;4;4;2;4;5;6;3;2;1;3;4;2;3;1;5;75;100;-9;3;5;;egozentriert;wenig selbstsicher;rational;unzuverlässig; wenig selbsbewusst;verdeckt;;2;2;-9;1;1;21;21;11;5;24;45;69
296;DES3BN;;base;interview;29.01.15 19:10;4;7;4;3;;56;58;58;48;;2;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral;Neutral;Unentschlossen ;Unentschlossen ;;verdeckt;;;;;;0;10;10;0;0;0;8;8
297;SC9PC6;;base;interview;29.01.15 19:12;6;3;3;3;3;49;69;50;47;49;10;5;5;10;5;;;;;;4;5;3;2;6;2;1;4;5;3;5;5;3;5;4;4;5;5;5;2;5;5;5;5;5;3;6;6;5;5;5;6;6;6;4;2;4;6;5;4;4;4;4;80;82;-9;3;1;;Opportunist;Zurückhaltende;Neutrale;Ego;Neutro;verdeckt;38;2;1;5;1;1;21;21;9;3;14;22;37
298;Y6OTHU;;base;interview;29.01.15 19:16;7;;;;;51;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Orientiert;;;;;offen;;;;;;0;7;7;0;0;0;13;13
299;NPCHYI;;base;interview;29.01.15 19:17;5;;;;;20;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Erbsenzähler;;;;;verdeckt;;;;;;0;7;7;0;0;0;225;225
301;SXLNGC;;base;interview;29.01.15 19:47;7;3;3;4;3;1;101;51;1;52;0;0;0;0;0;;;;;;7;7;5;1;3;3;3;1;1;7;5;5;1;1;1;1;2;5;4;1;2;5;5;6;2;1;1;6;6;1;1;1;6;6;1;6;1;1;1;1;6;6;-9;100;1;7;3;7;Interessant.;rücksichtslos;edelmütig;untertänig;charakterschwach;demütig;offen;29;1;2;-9;1;1;21;21;9;3;14;26;40
307;A48BG0;;base;interview;29.01.15 20:38;4;3;5;2;2;1;101;101;1;97;10;2;0;10;3;;;;;2;7;7;1;1;2;3;1;2;3;7;5;4;1;4;1;1;6;1;6;1;2;6;6;4;5;1;5;5;5;6;2;6;5;6;4;1;1;6;1;3;1;1;1;100;100;4;3;7;;gierig;selbstlos;gerecht;unentschlossen gierig;unsicher;verdeckt;45;1;2;-9;1;1;21;21;8;2;9;0;9
309;O77HA8;;base;interview;29.01.15 20:40;6;2;4;4;2;37;37;71;36;18;8;6;5;8;6;;;;;;7;7;4;1;4;5;1;3;4;7;5;5;2;3;4;1;5;6;6;2;4;6;5;5;4;1;4;6;2;4;2;6;4;5;5;4;3;6;5;4;1;1;1;60;67;7;3;1;;Egoistisch;Bescheiden;Gerecht;Unentschlossen;Unverständlich;verdeckt;21;1;1;4;1;1;21;21;8;1;8;36;44
310;823BVY;;base;interview;29.01.15 20:56;6;2;6;2;1;50;49;4;1;48;0;0;0;10;0;;;;;;6;3;1;1;1;1;3;1;1;6;5;5;2;1;4;1;5;6;5;1;3;6;6;3;2;1;4;6;2;2;1;6;4;5;3;1;1;5;1;3;4;1;1;30;79;5;3;3;;rational;großzügig;entscheidungsscheu;feige und verlogen;komisch;offen;30;1;2;-9;1;1;21;21;9;2;10;48;58
313;ZVVXV3;;base;interview;29.01.15 21:14;7;4;2;3;2;35;69;101;18;75;7;3;1;8;0;;;;;;6;4;1;1;1;1;6;1;1;4;6;5;1;5;4;1;5;4;4;1;3;6;5;3;3;1;4;5;1;6;1;5;6;5;1;1;1;6;1;5;5;1;1;51;-1;7;3;1;;Entscheider;Gönner;Spieler;Linke Socke;Samariter;offen;29;2;2;-9;1;1;21;21;10;3;16;29;45
314;KFAUU5;;base;interview;29.01.15 21:18;7;2;3;2;2;70;95;101;35;62;10;4;4;10;6;;;;;;7;7;1;1;6;2;1;4;1;7;6;5;1;1;4;1;6;3;6;1;2;6;6;3;5;1;5;6;3;4;1;6;2;5;2;3;1;1;3;4;4;1;-9;90;62;7;3;7;;Egoist;selbstlos;fair;unentschlossen;unentschlossen;verdeckt;21;1;1;5;1;1;21;21;9;3;14;20;34
321;3D7NAI;;base;interview;29.01.15 22:19;7;5;6;5;3;50;49;97;7;8;10;4;5;10;2;;;;;;7;7;2;1;3;4;1;1;1;7;6;5;3;2;4;1;6;6;6;4;5;6;1;5;4;4;5;6;4;5;3;6;4;5;5;5;2;6;1;5;5;1;6;51;-1;6;3;6;Ich bin gespannt auf die Hintergründe. ;mehrergreifend;bescheiden;reell;hinterlistig;überbescheiden;offen;53;2;2;-9;1;1;21;21;9;3;14;44;58
323;0RXUB5;;base;interview;29.01.15 22:40;7;5;5;2;3;52;53;52;52;49;8;8;8;8;8;;;;;;5;6;5;2;4;5;1;5;5;6;5;5;2;3;4;2;6;5;5;4;4;5;5;5;4;3;4;5;2;4;2;5;5;4;4;3;4;3;5;4;4;1;3;98;100;4;3;7;Mangelnde Konzentration bei Entscheidung B. % anpassen oder meine Aussagen nicht berücksichtigen. Ich versuche erfolglos den Fragebogen neu zu beginnen.;bestimmt;verantwortungsdeligierend;unsicher;unsicher;unsicher;verdeckt;29;1;2;-9;1;1;21;21;8;2;8;5;13
324;QE6P58;;base;interview;29.01.15 22:54;7;3;4;3;2;51;52;90;28;40;10;5;4;8;6;;;;;;7;7;3;1;4;5;1;5;5;7;4;5;1;3;4;1;5;5;3;2;3;6;6;6;4;1;2;6;3;4;1;4;3;5;3;1;1;5;5;5;1;1;1;0;2;7;3;3;;eigennützig;grosszügig;schicksalsgeleitet;kontrollierend;ängstlich sozial;offen;28;1;2;-9;1;1;21;21;9;2;10;5;15
325;QKRNC6;;base;interview;29.01.15 23:42;3;2;4;6;1;101;1;23;52;1;1;2;2;2;2;2;;;;;6;6;3;2;5;4;3;3;4;4;4;3;5;4;6;1;4;5;5;2;6;6;6;5;5;5;4;6;4;5;2;6;6;5;5;1;4;6;5;3;3;1;-9;10;54;7;3;1;Ich will lieber garnicht wissen wie verquer diese getätigten Aussagen interpretiert werden. Die Fragen sind oft zu allgemein und zu wenig spezifisch für eine Situation.;autentisch;wenig rational denkend;unnötig risikobereit;nachvollziehbar;dumm;offen;38;2;2;5;1;1;21;21;6;2;10;17;27
326;Z84T00;;base;interview;30.01.15 00:52;7;1;1;1;1;46;49;50;51;50;1;1;1;1;1;;;;;;6;3;1;1;2;2;5;2;6;3;3;4;1;2;1;1;4;4;2;1;1;5;4;2;3;1;2;4;1;4;1;4;2;4;1;1;1;1;1;3;2;1;1;95;11;2;3;3;;berechnend;irrational;unentschlossen;unsicher;unsicher und irrational;verdeckt;25;1;2;-9;1;1;21;21;9;2;10;42;52
327;KK7RD7;;base;interview;30.01.15 01:08;7;2;3;2;2;50;35;41;24;28;2;3;3;4;4;;2;;;;7;5;4;1;4;4;3;5;5;5;4;5;2;3;5;1;6;5;4;4;4;6;4;3;4;3;4;4;4;4;1;5;6;5;3;4;4;5;2;4;2;2;6;85;-1;7;3;7;"Einige Fragen sind nicht mit Sicherheit beantwortbar, bzw. müssten einige Begriffe genau definiert werden. Was ist beispielsweise mit ""natürlichem"" Verhalten gemeint (natürlich im Sinne von bei Hunger essen, bei Müdigkeit schlafen... oder natürlich als das, was als üblich und gebräuchlich gilt?)? Missbraucht der Priester das Kind in seiner beruflichen Funktion oder unabhängig davon?
Manchmal wäre es einfacher, eine Frage im Zusammenhang mit einer konkreten Situation zu beantworten (ich würde mich z.B. nicht weigern, einen meiner Ansicht nach sinnlosen oder lästigen Befehl auszuführen, etwa ""graben Sie ein 2m tiefes Loch"". Wohl aber, wenn der Befehl die Gefährdung anderer beinhaltet, etwa ""erschießen Sie Person XY"" obwohl diese offensichtlich keine Gefahr darstellt).
Eventuell auf jeder Seite des Fragebogens eine Kommentarspalte zur Verfügung stellen, durch die Länge des Bogens und die Anzahl der Fragen gehen Details verloren und Anmerkungen am Ende des Bogens sind nicht so präzise, wie sie sein sollten.";Geldhorter;zu großzügig;Entscheidungsprobleme;braucht mehr  Bedenkzeit;Gewissenskonflikt;verdeckt;22;1;1;4;1;1;21;21;6;2;11;1;12
328;PK76XW;;base;interview;30.01.15 07:40;7;4;4;2;2;64;81;32;24;23;2;1;4;5;5;;;3;;;6;6;4;2;5;4;2;4;4;6;5;4;2;2;4;3;6;5;5;4;4;4;4;3;5;1;4;5;4;3;4;6;5;5;3;1;2;6;4;5;3;2;1;51;-1;3;3;7;Interessant - insbesondere der Zusammenhang unterschiedlicher Fragen zu Ethik und Religion;normal;sozial;unsicher;vorteilsbewusst;unpraktisch;offen;60;2;2;-9;1;1;21;21;8;2;13;2;16
330;6JNTSH;;base;interview;30.01.15 08:43;7;3;4;3;2;37;61;50;19;25;3;5;4;7;6;;;;;;6;5;2;1;6;4;2;6;7;5;5;2;3;5;6;2;6;6;6;3;3;6;5;3;2;6;5;4;5;4;1;6;4;2;5;5;5;6;2;2;1;2;3;90;94;6;3;3;Ziemlich langer Fragebogen und ich hab nicht wirklich verstanden für was der jetzt wirklich gut war;egoistisch;sozial;mir wurscht;Was soll ich tun?Ich nehm;Was soll ich tun? Ich geb;verdeckt;26;2;1;6;1;1;21;21;6;1;6;20;26
333;6P2FCY;;base;interview;30.01.15 09:14;-9;;;;;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;verdeckt;;;;;;0;7;7;100;100;530;2;532
